역명,소화기_수량
신내,12.0
장암,13.0
지축,19.0
구산,20.0
창신,21.0
개롱,22.0
독바위,23.0
신답,24.0
상도,25.0
송파,25.0
보문,25.0
장지,26.0
중계,26.0
역촌,26.0
신흥,27.0
철산,27.0
여의나루,28.0
화곡,28.0
신정,28.0
버티고개,28.0
망원,28.0
수진,28.0
효창공원앞,28.0
복정,29.0
산성,29.0
돌곶이,29.0
송정,29.0
대흥,29.0
도림천,29.0
양평,29.0
용두,30.0
마포,30.0
이태원,30.0
올림픽공원,30.0
남한산성입구,30.0
남성,30.0
석촌,30.0
암사,30.0
광흥창,30.0
증산,30.0
굽은다리,30.0
자양,30.0
한강진,31.0
둔촌동,31.0
목동,31.0
강동구청,32.0
아차산,32.0
내방,32.0
명일,32.0
녹번,32.0
상월곡,32.0
마포구청,33.0
우장산,33.0
응암,33.0
공릉,33.0
길동,33.0
한성대입구,33.0
안암,34.0
장승배기,34.0
천왕,34.0
마천,34.0
보라매,34.0
발산,34.0
신풍,35.0
상수,35.0
금호,35.0
애오개,35.0
봉화산,35.0
논현,35.0
신정네거리,35.0
광명사거리,36.0
남부터미널,36.0
문정,36.0
몽촌토성,36.0
새절,36.0
사가정,36.0
상일동,36.0
하남풍산,36.0
마장,36.0
장한평,36.0
대청,36.0
용마산,37.0
고덕,37.0
독립문,37.0
제기동,38.0
당고개,38.0
행당,38.0
남태령,38.0
학동,38.0
답십리,38.0
거여,38.0
마들,39.0
구로디지털단지,39.0
무악재,39.0
중화,39.0
모란,39.0
하계,39.0
수락산,40.0
압구정,40.0
광화문,40.0
광나루,40.0
서대문,40.0
신대방삼거리,40.0
여의도,40.0
단대오거리,40.0
화랑대,40.0
녹사평,40.0
면목,40.0
방이,40.0
혜화,41.0
잠실나루,41.0
청량리,41.0
까치산,41.0
뚝섬,41.0
매봉,41.0
먹골,42.0
중곡,42.0
잠원,42.0
이촌,42.0
양천구청,42.0
도봉산,42.0
고려대,43.0
강남구청,43.0
숙대입구,43.0
가산디지털단지,43.0
신림,44.0
삼성,44.0
김포공항,44.0
상왕십리,44.0
남위례,45.0
구의,45.0
신금호,45.0
신길,45.0
남구로,45.0
당산,45.0
하남시청,45.0
디지털미디어시티,46.0
구파발,46.0
수유,47.0
아현,47.0
길음,47.0
신대방,47.0
숭실대입구,47.0
반포,47.0
학여울,47.0
강변,48.0
상봉,48.0
미아사거리,48.0
신용산,48.0
성신여대입구,48.0
온수,49.0
청구,49.0
월곡,49.0
월드컵경기장,49.0
일원,49.0
어린이대공원,49.0
봉천,49.0
미사,49.0
마곡,50.0
대치,50.0
종각,50.0
종로5가,50.0
영등포시장,51.0
천호,51.0
상계,51.0
창동,51.0
을지로입구,51.0
미아,51.0
선릉,52.0
강남,52.0
쌍문,53.0
신사,53.0
문래,53.0
양재,54.0
오목교,54.0
경복궁,54.0
서울대입구,54.0
군자,55.0
성수,55.0
동대입구,56.0
홍제,57.0
도곡,57.0
이대,58.0
석계,58.0
수서,58.0
신촌,58.0
연신내,58.0
명동,59.0
서초,61.0
낙성대,61.0
안국,61.0
한양대,61.0
경찰병원,64.0
홍대입구,64.0
동작,66.0
방배,66.0
강일,69.0
강동,69.0
회현,71.0
잠실새내,72.0
역삼,75.0
옥수,76.0
불광,76.0
가락시장,77.0
충무로,82.0
하남검단산,84.0
청담,84.0
동묘앞,85.0
교대,85.0
노원,86.0
을지로4가,87.0
대림,87.0
공덕,88.0
서울,88.0
태릉입구,88.0
약수,88.0
영등포구청,89.0
건대입구,90.0
삼각지,95.0
신도림,96.0
신당,97.0
왕십리,98.0
동대문,100.0
오금,102.0
합정,102.0
충정로,104.0
총신대입구,104.0
신설동,106.0
고속터미널,110.0
을지로3가,114.0
종합운동장,122.0
사당,127.0
시청,130.0
동대문역사문화공원,135.0
종로3가,144.0
잠실,145.0
